,clean_text,sentiment
55,entrepreneurs are rising india after modi govt created system for them took care their tax concerns and created infra for them incubate well never happened congress you guys just want power sit and shit its simple for you,negative
56,nothing else its modi phobia,neutral
57,itna fark  ,neutral
58,once again modi government modi govts efforts last years governance reforms have been institutionalise honesty way that every system and institution designed inculcate well inspire honesty,neutral
59,"all are with you sir namo again jai hind jai modi
muje puri bharat janta par vishwas hai sir aap hamre prime minister honge for our future our country future you must our prime minister again and again bjp",neutral
60,anchor doing canvas against modi not fit for journalism,negative
61,slams makers biopic for deliberately using name the credit ,neutral
62,will these channels say modi also scared contests from two seats even propoganda needs little decency,negative
63,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them
via namo app",positive
64,100 sure sir will inform all family and friends give record numbers vote modi sir and bjp thanks,positive
65,you will loose your existance election rafel corruption free and scam free all nation know the nature except narendra modi and bjp all party scammer aap nautanki baj,positive
66,‘concierge’ for super rich makes unusual sight nirav modis hearing via ,positive
67,’ confused who said that intellectuals should decide modi’ policies the question was which intellectuals sided with modi and similarly there’ those who’ disagree with his policies too where’ the question deciding anything,negative
68,asked learn from how treat minority well does want what did minor ,negative
69,for new india can vote for shri narendra modi ,positive
70,"
modi govts years are over just cheating people promises has impacted lot things from the economy the country brotherhood the nation ",neutral
71,"what your logic sir
could you please throw some light the logic behind your tweet that bjpnda will lose modi fights from bengaluru south",neutral
72,not modi then who from opposition opposition leaders intent clear but dont understand why they are failing their attempt why not vote for modi they are not telling people what they will when come into power,positive
73,modi great his opponents generally are selfish idiots who keep attacking his governance skill modi doing great for 3040 yrs you tell what will you give oppo know after years modi rule that can wonders this stupid world created dishonest,negative
74,can pit more pictures and videos hindu extremist crime just years but use coz ppl are taken over storm modi and rss terror,positive
75,vote kar narendra modi appeals everyone during tweetstorm ,neutral
76,modi mother elected more khans would killed ,positive
77,last time you paid loan some entrepreneurs named vijay maalya and nirav modi whose number this time please check next list,neutral
78,rahul doesnt make false promises like modi has always delivered whatever has been promised you may check his track record you can count him ,negative
79,kitna jalte tum modi your tweet shows your jealousy towards our great prime minister modi ,positive
80,centre state govts working together make india tbfree 2025 ,neutral
81,where ever rgis going through out the length breadth the country such the reception for him masses india just love him modi all other leaders bjp are just match,positive
82,mad sandip singh have some sense javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express ,negative
83,thanks modi porn sites are banned,positive
84,did modi eat beef biryani and sleep asaduddin owaisi ,neutral
85,voted for modi last time but never again economy screwed hate ideology being propagated need not rahul but any one other than modi the next few weeks will tell there way bjp will get majority the propagandas only social media,negative
86,congress fed biryani terrorists modi government fed them bullets and bombs yogi adityanath ,neutral
87,open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards,negative
88,requesting all stop using services they are giving favor big people like vijay malya nivav modi and taking money from all like nonscene charges,neutral
89,this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,positive
90,sharam karodesh ghotale bech khaega tumhara just because modi youth have taken interest political issues youth are better judge the right and wrong ,positive
91,dont forget petrol prices have risen ₹ modi government when gulf prices were going down ाेशबचा ,negative
92,thought petta was the most antibjp movie recent times  ,positive
93,"election live blog met sapna choudhary yesterday want her campaigning for manoj tiwari
",positive
94,superbly summarizedjai hind vande mataramagain modi sarkar ,positive
95,"country prospers when the women the country are leading the forefront are supported every endeavour their lives modi govt focussed policies where women have been enabled with the power empower themselves and the nation
via namo app",neutral
96,sabbash mera vote for peppermit abvp,neutral
97,yogi adityanath hold 100 rallies seek votes for narendra modi amit shah ,neutral
98,from the very beginningmodi doing wada faramoshi you dont believe take example used say giving lakhs every indian and after years governance failed fulfill his promise ,negative
99,modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest,positive
